name,reg,city,dep,ast,url
KENOSHA POLICE AND FIREMEN'S CREDIT UNION,NCUA,Kenosha,5496,9057,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_888392
MADISON FIRE DEPARTMENT CREDIT UNION,NCUA,Madison,4462,5541,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_969394
"WISCONSIN LATVIAN, INC. CREDIT UNION",NCUA,Milwaukee,2743,3054,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_20398
LCO FEDERAL CREDIT UNION,NCUA,Hayward,2515,2915,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3017054
SUPERIOR MUNICIPAL EMPLOYEES CREDIT UNION,NCUA,Superior,2395,3015,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1219667
SCHOOL EMPLOYEES CREDIT UNION,NCUA,Superior,2026,2422,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_737397
AIR TECH CREDIT UNION,NCUA,Milwaukee,1561,2156,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_557894
1ST CLASS EXPRESS CREDIT UNION,NCUA,Waukesha,1535,2051,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_480497
STOPPENBACH CREDIT UNION,NCUA,Jefferson,1424,1820,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_667896
POLICE CREDIT UNION,NCUA,Sheboygan,725,898,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_871394
HOLY REDEEMER COMMUNITY OF SE WIS. CREDIT UNION,NCUA,Milwaukee,536,816,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2053176
