Rank,Institution,Type,City,HQ_State,Deposits,Assets,ibanknet_URL,Bank_website,Source,In_prior_sweep,Notes
371,SAN MATEO CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,San Mateo,CA,27458,33330,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_10885,,cache 2026-06-10,Y,
372,HANIN FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,26978,31725,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2353009,,cache 2026-06-10,Y,
373,SLO CREDIT UNION,Credit Union,San Luis Obispo,CA,25918,29740,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_688994,,cache 2026-06-10,Y,
374,MATTEL FEDERAL CREDIT UNION,Credit Union,El Segundo,CA,25569,29131,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_495987,,cache 2026-06-10,Y,
375,BAKERSFIELD CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Bakersfield,CA,25546,29354,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_485979,,cache 2026-06-10,Y,
376,SUN PACIFIC FEDERAL CREDIT UNION,Credit Union,Richmond,CA,24506,29840,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_735777,,cache 2026-06-10,Y,
377,NORTHERN REDWOOD FEDERAL CREDIT UNION,Credit Union,Arcata,CA,22577,24492,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_736886,,cache 2026-06-10,Y,
378,CENTER CITY COMMUNITY CREDIT UNION,Credit Union,Buena Park,CA,22405,25267,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_688592,,cache 2026-06-10,Y,
379,FRESNO GRANGERS FEDERAL CREDIT UNION,Credit Union,Fresno,CA,20723,26954,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_408370,,cache 2026-06-10,Y,
380,EMPLOYEES CHOICE FEDERAL CREDIT UNION,Credit Union,El Cajon,CA,20191,22980,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_849384,,cache 2026-06-10,Y,
381,ONTARIO PUBLIC EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Ontario,CA,19710,23435,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_682684,,cache 2026-06-10,Y,
382,NOVO FEDERAL CREDIT UNION,Credit Union,Norco,CA,17951,20774,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_359089,,cache 2026-06-10,Y,
383,CIBC Bank USA,Out-of-state bank with CA branches (SOD),Chicago,IL,16966,65130106,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1842065,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
384,FONTANA FEDERAL CREDIT UNION,Credit Union,Fontana,CA,15829,17231,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_10782,,cache 2026-06-10,Y,
385,MID-CITIES CREDIT UNION,Credit Union,Compton,CA,14926,16279,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_195090,,cache 2026-06-10,Y,
386,L.A. HEALTHCARE FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,13604,14970,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_952882,,cache 2026-06-10,Y,
387,INLAND FEDERAL CREDIT UNION,Credit Union,La Mesa,CA,13587,14796,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_513087,,cache 2026-06-10,Y,
388,BEVERLY HILLS CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Beverly Hills,CA,13149,14904,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_987987,,cache 2026-06-10,Y,
389,UNITED ASSOCIATION CREDIT UNION,Credit Union,Concord,CA,11898,14328,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_531296,,cache 2026-06-10,Y,
390,ATCHISON VILLAGE CREDIT UNION,Credit Union,Richmond,CA,11658,13271,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_688190,,cache 2026-06-10,Y,
391,ESPEECO FEDERAL CREDIT UNION,Credit Union,Bakersfield,CA,11580,12367,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_53882,,cache 2026-06-10,Y,
392,NORTHEAST COMMUNITY FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,10355,15791,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_848592,,cache 2026-06-10,Y,
393,COMUNIDAD LATINA FEDERAL CREDIT UNION,Credit Union,Santa Ana,CA,8358,11186,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3485514,,cache 2026-06-10,Y,
394,REDLANDS CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Redlands,CA,7606,10291,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1017386,,cache 2026-06-10,Y,
395,L. A. MISSION FEDERAL CREDIT UNION,Credit Union,San Fernando,CA,7522,8606,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_183686,,cache 2026-06-10,Y,
396,EPISCOPAL COMMUNITY FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,6036,6625,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2242653,,cache 2026-06-10,Y,
397,DENOCOS FEDERAL CREDIT UNION,Credit Union,Crescent City,CA,5322,6295,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_84185,,cache 2026-06-10,Y,
398,SAN FRANCISCO LEE FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,5042,10746,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_627582,,cache 2026-06-10,Y,
399,SANTA MARIA ASSOCIATED EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Santa Maria,CA,4464,4918,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_557380,,cache 2026-06-10,Y,
400,VALLEY AGRICULTURAL FEDERAL CREDIT UNION,Credit Union,Santa Paula,CA,4219,4755,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_67384,,cache 2026-06-10,Y,
401,CHULA VISTA CITY EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Chula Vista,CA,2755,3161,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_411080,,cache 2026-06-10,Y,
402,SUNKIST EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Valencia,CA,2685,3959,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_68176,,cache 2026-06-10,Y,
403,U.S.B. EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Wilmington,CA,2571,3207,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_376778,,cache 2026-06-10,Y,
404,COLUMBUS CLUB FEDERAL CREDIT UNION,Credit Union,San Fernando,CA,2131,3041,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_150688,,cache 2026-06-10,Y,
405,FOUNTAIN VALLEY CREDIT UNION,Credit Union,Fountain Valley,CA,1509,1965,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_176893,,cache 2026-06-10,Y,
406,"THE BANK OF NEW YORK MELLON TRUST COMPANY, NATIONAL ASSOCIATION",Bank,Los Angeles,CA,1071,1391736,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_398668,,cache 2026-06-10,Y,
407,MARYKNOLL OF L A FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,1019,1152,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_184786,,cache 2026-06-10,Y,
408,MOJAVE PLANT EMPLOYEES FEDERAL CREDIT UNION,Credit Union,Mojave,CA,817,1014,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_707082,,cache 2026-06-10,Y,
409,CAPITAL BANK AND TRUST COMPANY,Savings Institution (Federal Savings Bank),Irvine,CA,500,226431,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2921659,,cache 2026-06-10,Y,
410,LOS ANGELES LEE FEDERAL CREDIT UNION,Credit Union,Los Angeles,CA,493,645,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_631486,,cache 2026-06-10,Y,
411,DELANCEY STREET FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,353,498,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_390886,,cache 2026-06-10,Y,
412,JONES METHODIST CHURCH CREDIT UNION,Credit Union,Burlingame,CA,209,257,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3793,,cache 2026-06-10,Y,
413,"BLACKROCK INSTITUTIONAL TRUST COMPANY, NATIONAL ASSOCIATION",Non-Depository Trust Bank,San Francisco,CA,0,4520258,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1444021,,cache 2026-06-10,Y,Non-depository trust bank per ibanknet
414,DEUTSCHE BANK NATIONAL TRUST COMPANY,Non-Depository Trust Bank,Los Angeles,CA,0,553623,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_670560,,cache 2026-06-10,Y,Non-depository trust bank per ibanknet
415,"BESSEMER TRUST COMPANY OF CALIFORNIA, NATIONAL ASSOCIATION",Non-Depository Trust Bank,San Francisco,CA,0,14961,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2845782,,cache 2026-06-10,Y,Non-depository trust bank per ibanknet
416,HAVEN FEDERAL CREDIT UNION,Credit Union,San Francisco,CA,0,0,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_6125268,,cache 2026-06-10,Y,
417,CIBC National Trust Company,Out-of-state bank with CA branches (SOD),Atlanta,GA,0,398477,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_975751,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 2 CA offices"
418,First Western Trust Bank,Out-of-state bank with CA branches (SOD),Denver,CO,0,3238793,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_3158546,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
419,"Wilmington Trust, National Association",Out-of-state bank with CA branches (SOD),Wilmington,DE,0,759503,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2265456,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 3 CA offices"
420,The Bank of New York Mellon,Out-of-state bank with CA branches (SOD),New York,NY,0,467349000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_541101,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
421,"LendingClub Bank, National Association",Out-of-state bank with CA branches (SOD),Lehi,UT,0,11845708,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_264772,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 1 CA offices"
422,"BNY Mellon, National Association",Out-of-state bank with CA branches (SOD),Pittsburgh,PA,0,30917000,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_934329,,cache 2026-06-10,Y,"Deposits = CA branch deposits only (FDIC SOD 2025, via ibanknet); Assets = total consolidated assets (FDIC, filled from assets_fill.csv 2026-03-31); City/HQ_State = FDIC legal HQ | 4 CA offices"
423,WOORI BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,7461409,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_44769,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
424,MUFG BK LOS ANGELES BR,Foreign Banking Organization (UFB),Los Angeles,CA,N/A,3913711,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_112967,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
425,BANK OF CHINA LA BR,Foreign Banking Organization (UFB),Los Angeles,CA,N/A,3138633,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1218361,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
426,ADYEN NV SAN FRANCISCO BR,Foreign Banking Organization (UFB),San Francisco,CA,N/A,2376702,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_5616273,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
427,E SUN CMRL BK LOS ANGELES BR,Foreign Banking Organization (USB),City Of Industry,CA,N/A,2293367,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2929851,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
428,BANK OF E ASIA LA BR,Foreign Banking Organization (UFB),Alhambra,CA,N/A,1547894,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1858990,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
429,LAND BK OF TAIWAN LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,1426734,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2614009,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
430,FIRST CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,1344900,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1438963,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
431,CHANG HWA CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,1340859,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1488771,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
432,STATE BK OF INDIA LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,1267285,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_116068,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
433,BANK SINOPAC LA BR,Foreign Banking Organization (USB),Pasadena,CA,N/A,1141570,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2826062,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
434,HUA NAN CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,1088880,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1437014,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
435,TAIWAN CO-OP BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,961279,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2361077,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
436,BANK OF TAIWAN LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,916923,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2045809,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
437,MEGA INTL CMRL BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,913677,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_683663,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
438,MEGA INTL CMRL SILICON VALL BR,Foreign Banking Organization (USB),San Jose,CA,N/A,835263,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1395374,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
439,TAIWAN BUS BK LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,749822,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_2066121,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
440,SHANGHAI CMRL BK SF BR,Foreign Banking Organization (USB),San Francisco,CA,N/A,614107,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_748665,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
441,CHINA CITIC BK INTL LA BR,Foreign Banking Organization (UFB),Alhambra,CA,N/A,542745,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_806864,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
442,SHANGHAI CMRL BK LA BR,Foreign Banking Organization (USB),Alhambra,CA,N/A,338338,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1869352,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
443,BANK OF CMNTNS SF BR,Foreign Banking Organization (UFB),San Francisco,CA,N/A,220896,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_4357225,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
444,CMB WING LUNG BK LA BR,Foreign Banking Organization (UFB),Irvine,CA,N/A,146587,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_571564,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
445,BANK OF INDIA SF AGY,Foreign Banking Organization (USA),San Francisco,CA,N/A,138714,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_731667,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
446,CMB WING LUNG BK SF BR,Foreign Banking Organization (UFB),San Francisco,CA,N/A,131405,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_4725141,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
447,PHILIPPINE NB LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,49496,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_746568,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
448,SUMITOMO MITSUI BKG CORP LA BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,3063,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1163162,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
449,MIZUHO BK LOS ANGELES BR,Foreign Banking Organization (USB),Los Angeles,CA,N/A,2067,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_109565,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
450,OVERSEA-CHINESE BKG LA AGY,Foreign Banking Organization (USA),Los Angeles,CA,N/A,1134,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_1418107,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
451,SUMITOMO MITSUI BKG CORP SF BR,Foreign Banking Organization (USB),San Francisco,CA,N/A,0,https://www.ibanknet.com/scripts/callreports/getbank.aspx?ibnid=usa_875365,,cache 2026-06-10,Y,[N/A-DEPOSITS BLOCK] FBO office (FFIEC 002 filer). Deposits N/A: ibanknet fast-facts publishes office assets only; detailed RAL report behind captcha (documented in v7 assets_fill.csv). Assets are office-level.
