Charter#,Credit_Union,HQ_City,HQ_State,Assets_$,OOS_HQ_with_SoCal_branches,Branches_LA,Branches_SB,Branches_Riv,Branches_OC,Branches_Ventura,Branches_SD,Total_6cty,Counties,Priority,v5_status,Match_note,Source_link
9296,SUN COMMUNITY,El Centro,CA,896540774,,0,0,2,0,0,0,2,Riv,PRIORITY-4CTY,IN_V5,charter match: SUN COMMUNITY,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
6248,SKYONE,Hawthorne,CA,875824070,,2,0,0,0,0,0,2,LA,PRIORITY-4CTY,IN_V5,charter match: SKYONE,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
7608,OCEANAIR,Oxnard,CA,870759623,,0,0,0,0,4,0,4,Ventura,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68062,AMERICA'S CHRISTIAN,Glendora,CA,818406188,,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: AMERICA'S CHRISTIAN,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
9071,DIRECT,Needham,MA,789820428,Y,0,0,0,1,0,0,1,OC,PRIORITY-4CTY,IN_V5,charter match: DIRECT,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
12425,FOOTHILL,Arcadia,CA,772237101,,4,1,0,0,0,0,5,LA+SB,PRIORITY-4CTY,IN_V5,charter match: FOOTHILL,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24875,THE FIRST FINANCIAL,Pasadena,CA,746455820,,5,3,0,0,0,0,8,LA+SB,PRIORITY-4CTY,IN_V5,charter match: THE FIRST FINANCIAL,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68459,USC,Los Angeles,CA,719189202,,5,0,0,0,0,0,5,LA,PRIORITY-4CTY,IN_V5,charter match: USC,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
68377,MYPOINT,San Diego,CA,701059214,,0,0,0,0,0,7,7,SD,OUTLIER,NEW_GAP,"Ventura/SD only (outlier counties, not in v5 4-cty scope)",https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
21751,FEDEX EMPLOYEES CREDIT ASSOCIATION,Memphis,TN,641452230,Y,1,0,0,0,0,0,1,LA,PRIORITY-4CTY,IN_V5,charter match: FEDEX EMPLOYEES CREDIT ASSOCIATION,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
24916,I.L.W.U.,Long Beach,CA,601926772,,3,0,0,0,0,0,3,LA,PRIORITY-4CTY,IN_V5,charter match: I.L.W.U.,https://ncua.gov/files/publications/analysis/call-report-data-2026-03.zip
